business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Floatware - Graphics, Website, AI Specialist & Digital Marketing Agency",Growth Marketing,Computer support and services,Computer support and services,700130,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram Bazar SO, Korachandigarh BO, Taldharia Kapasia BO",+91 70038 45621,N/A,4.8,,"Meghdoot, East Udayrajpur, Madhyamgram, Kolkata, West Bengal 700129","East Udayrajpur, Madhyamgram",22.702116399999998,88.46957309999999,ChIJbfwRcqyf-DkRk_GttzxDedw,https://www.google.com/maps/place/?q=place_id:ChIJbfwRcqyf-DkRk_GttzxDedw,part_315,2026-09-20 20:19:54
Incrementer Technology Solutions Pvt. Ltd | Website Development Company,Growth Marketing,Website designer,"Website designer, Branding agency, Marketing agency",700130,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram Bazar SO, Korachandigarh BO, Taldharia Kapasia BO",+91 79807 85847,http://www.incrementertech.com/,5.0,,"VIP Rd, near United Bank Of India, Biman Nagar, Kaikhali, Kolkata, West Bengal 700052","Biman Nagar, Kaikhali",22.6332928,88.43503799999999,ChIJHbXQVmqe-DkRGtW1S_ypbzI,https://www.google.com/maps/place/?q=place_id:ChIJHbXQVmqe-DkRGtW1S_ypbzI,part_315,2026-09-20 20:19:55
Growthway Advertising | Digital marketing Agency,Growth Marketing,Internet marketing service,"Internet marketing service, Marketing agency, Marketing consultant",700130,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram Bazar SO, Korachandigarh BO, Taldharia Kapasia BO",+91 77092 80369,https://growthwayadvertising.com/,4.9,12.0,"Office No - 703, ANP Landmark, Sr. no. 89, Bhumkar Chowk, Hinjewadi - Wakad Rd, near golden care hospital, Pune, Maharashtra 411057","Bhumkar Nagar, Wakad",18.6011801,73.7472231,ChIJdwGqEG65wjsRMzNQhpDqTQ0,https://www.google.com/maps/place/?q=place_id:ChIJdwGqEG65wjsRMzNQhpDqTQ0,part_315,2026-09-20 20:19:56
