pincode,circle,region,division,offices
713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO, Oari BO, Rupsa BO, Sasanga BO, Somsar BO, Ukhrid BO, Khandaghosh SO"
713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO, Gidhgram BO, Gobordhanpur BO, Jabagram BO, Jamra BO, Jogeswardihi BO, Karui BO, Kaithan BO, Khirgram BO, Kuara BO, Nigun BO, Palsona BO, Panjua BO, Puini BO, Purba Gopalpur BO, Saragram BO, Shimulia Danga BO, Thangapara BO, Koychor SO"
713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO, Kolkol BO, Pratappur BO, Samantapara BO, Bhalki BO, Suata BO, Amrargarh BO, Mankar SO, Maro BO"
713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO, Golatun BO, Kaigram BO, Kalui BO, Kasa BO, Lohar BO, Maldanga BO, Putsuri BO, Singhali BO, Tarasusunia BO, Chandrapur BO, Purbakhanpur Bamunpara BO, Monteswar SO"
713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO, Biruha BO, Baror BO, Chotkhanda BO, Debipur RS BO, Debipur BO, Ghosh BO, Gontar BO, Hatsridharpur BO, Jabui BO, Kalibele BO, Nimo BO, Radhakantapur BO, Sasinara BO, Sultanpur BO, Paharhati BO, Memari SO, Bamunpara SO, Memari Bazar SO"
713147,West bengal circle,South Bengal Region,Burdwan Division,"Athghara BO, Jhilu BO, Khurtuba BO, Kunda BO, Mongalkote BO, Palishgram BO, Purbo Noaapara BO, Nutanhat SO"
713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO, Birudiha BO, Chotoramchandrapur BO, Debsala BO, Kanksa BO, Kota BO, Sonai BO, Shilampur BO, Trilokchandrapur BO, Panagar Bazara SO"
713149,West bengal circle,South Bengal Region,Burdwan Division,"Bhaita BO, Khagrakaranda BO, Saktigarh SO Bardhaman"
713150,West bengal circle,South Bengal Region,Burdwan Division,"Alampur BO, Bandhmura BO, Berampur BO, Bileswar BO, Churpuni BO, Khajurdihi BO, Kosigram BO, Mustafapur BO, Sudpur BO, Srikhanda SO"
713151,West bengal circle,South Bengal Region,Burdwan Division,"Chanchai BO, Maheshdanga BO, Palla BO, Palla RS BO, Rasulpur SO"
713152,West Bengal Circle,South Bengal Region,Burdwan Division,"Bannabagram SO, Bhuera BO, Genrai BO, Hedogora BO, Karotia BO, Panduk BO, Uttarramnagar BO, Chhorahattala BO, Ausgram BO"
713153,West bengal circle,South Bengal Region,Burdwan Division,"Kuldiha BO, Parisha BO, Bhatkunda SO"
713154,West Bengal Circle,South Bengal Region,Burdwan Division,Amadpur SO
713166,West bengal circle,South Bengal Region,Burdwan Division,"Abujhati BO, Dhuluk BO, Ilsara BO, Jaugram BO, Keotara BO, Kulingram BO, Reora Gopalpur BO, Nabagram SO Bardhaman"
713201,West Bengal Circle,South Bengal Region,Asansol Division,"Durgapur HO, Durgapur RS SO, Durgapur Rabindra Pally SO"
