business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Spencers Retail | Rajarhat,Multi-location Retail Chains,Hypermarket,"Hypermarket, Asian grocery store, Beverage Store, Confectionery store, Egg supplier, Gourmet grocery store, Grocery delivery service, Produce market, Staple food package",700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 1800 123 6868,https://stores.spencers.in/spencers/kolkata/Rajarhat/spencers-in-Rajarhat-kolkata--yyRiHa/home,4.3,,"Oppsite Arasalan Restaurant, City Centre 2, NEW TOWN SQUARE, Chinar Park, Dash Drone, Rajarhat, Kolkata, West Bengal 700136","Chinar Park, Dash Drone, Rajarhat",22.6235216,88.44279619999999,ChIJVVVVhtKf-DkR2Ie20haT4Hk,https://www.google.com/maps/place/?q=place_id:ChIJVVVVhtKf-DkR2Ie20haT4Hk,part_313,2026-09-20 20:23:09
Spencers Retail | Naktala,Multi-location Retail Chains,Supermarket,Supermarket,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 1800 123 6868,https://stores.spencers.in/spencers/kolkata/Naktala/spencers-in-Naktala-kolkata--1ErKYr/home,4.0,,"239, Netaji Subhas Chandra Bose Rd, nearby Usha Gas, Naktala, Bansdroni, Kolkata, West Bengal 700047","Naktala, Bansdroni",22.4730042,88.3637639,ChIJVVXlwAFxAjoRAF2Px-raRb0,https://www.google.com/maps/place/?q=place_id:ChIJVVXlwAFxAjoRAF2Px-raRb0,part_313,2026-09-20 20:23:09
Spencers Retail | Upohar Town Centre,Multi-location Retail Chains,Supermarket,Supermarket,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 1800 123 6868,https://stores.spencers.in/spencers/kolkata/Upohar-Town-Centre/spencers-in-Upohar-Town-Centre-kolkata--5d8kip/home,4.2,,"Upohar Town Centre, Premises No 2052, nearby Garia Railway Station, Chak Garia, Kolkata, West Bengal 700094","2052, Chak Garia, Chak Garia, Pancha Sayar",22.475452399999998,88.40097279999999,ChIJqfuE5H1xAjoRnhUphy3zTiI,https://www.google.com/maps/place/?q=place_id:ChIJqfuE5H1xAjoRnhUphy3zTiI,part_313,2026-09-20 20:23:09
Spencers Retail | Netaji Nagar,Multi-location Retail Chains,Supermarket,Supermarket,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 1800 123 6868,https://stores.spencers.in/spencers/kolkata/Netaji-Nagar/spencers-in-Netaji-Nagar-kolkata--5sRiJK/home,4.0,,"2, Nagendra Narayan Dutta Rd, nearby The Assembly of God Church School, Regent Grove, Netaji Nagar, Kolkata, West Bengal 700040","Regent Grove, Netaji Nagar",22.4776407,88.3553702,ChIJc7lVY-pxAjoRKIWTos6_oRA,https://www.google.com/maps/place/?q=place_id:ChIJc7lVY-pxAjoRKIWTos6_oRA,part_313,2026-09-20 20:23:09
