pincode,circle,region,division,offices
700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO
700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO, Madanpur Krishnapur BO, Mudiahat BO"
700129,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram SO, East Udayrajpur BO, Udayrajpur BO"
700130,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram Bazar SO, Korachandigarh BO, Taldharia Kapasia BO"
700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO, Sajirhat BO"
700132,West Bengal Circle,Kolkata Region,Barasat Division,"Ganganagar SO North 24 Parganas, Ganti BO"
700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO
700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO
700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO, Chandpur BO, Hatisala BO, Kadampukur BO, Kamduni BO, Kashinathpur BO, Lauhati BO, Machibhanga BO, Matiagachha BO, Paikan BO, Pakka Polarhat BO, Patharghata BO, Pithapukuria BO, Polarhat BO, Rajarhat Bishnupur BO, Rajarhat Deara BO, Rohanda BO, Satbhaya BO, Shyamnagar BO, Sikharpur BO, Sonepur BO, Uttar Kashipur BO"
700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO"
700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO, Ghanashyambati BO, Hentalkhali BO, Sarengabad BO, Shyampur BO, Uttar Raipur BO, Bawali BO, Budge Budge Natun Bazar SO"
700138,West Bengal Circle,Kolkata Region,South Presidency Division,"Pujali SO, Achhipur BO, Benjanharia BO, Purba Nischintapur BO"
700139,West Bengal Circle,Kolkata Region,South Presidency Division,"Vivekananda Pally SO, Daulatpur BO, Memanpur Chandannagar BO"
700140,West Bengal Circle,Kolkata Region,South Presidency Division,"Batanagar SO, Akra Krishnanagar BO, Bangla BO, Chatakalikapur BO, Jagannathnagar BO, Khagramuri BO, Nungi BO, Par Bangla BO, Paschim Rameswarpur BO"
700141,West Bengal Circle,Kolkata Region,South Presidency Division,"Mahestala SO, Ashuti BO, Boga Noapara BO, Chakjot Shibrampur BO, Gonipur BO, Jalkhura BO, Maheshtala Gobindapur BO, Raipur BO, Vivekanandapur BO"
700142,West Bengal Circle,Kolkata Region,South Presidency Division,Santosh Pur Maheshtalaso SO
700143,West Bengal Circle,Kolkata Region,South Presidency Division,Sarkarpool SO
700144,West Bengal Circle,Kolkata Region,South Presidency Division,Baruipur HO
700145,West Bengal Circle,Kolkata Region,South Presidency Division,"Malancha Mahinagar SO, Bamangachi BO, Dakshin Gobindapur BO, Gangrai BO, Mallickpore BO"
700146,West Bengal Circle,Kolkata Region,South Presidency Division,Kodalia SO
700147,West Bengal Circle,Kolkata Region,South Presidency Division,Subhas Gram SO
700148,West Bengal Circle,Kolkata Region,South Presidency Division,Harinavi SO
700149,West Bengal Circle,Kolkata Region,South Presidency Division,"Rajpur SO South 24 Parganas, Chowhati BO, Rajpur Bazar SO"
700150,West Bengal Circle,Kolkata Region,South Presidency Division,"Sonarpur SO, Hadia BO, Kamrabad BO, Khayada BO, Nayabad BO, RAMKRISHNA PALLY BO, Uchhepota BO"
700151,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Jagatdal SO, Dingelpota BO"
700152,West Bengal Circle,Kolkata Region,South Presidency Division,"Panchpota SO, Dhalua BO"
700153,West Bengal Circle,Kolkata Region,South Presidency Division,Laskar Pur SO
700154,West Bengal Circle,Kolkata Region,South Presidency Division,"Boral SO, Rania BO"
700155,West Bengal Circle,Kolkata Region,Barasat Division,Abdalpur SO
700156,West Bengal Circle,Kolkata Region,Kolkata East Division,"New Town SO, Chakpanchuria BO, Hatgacha BO, Mahishbathan BO"
700157,West Bengal Circle,Kolkata Region,Kolkata East Division,"Hatiara SO, Ghuni BO"
