pincode,circle,region,division,offices
713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO, Seakulberia BO"
713336,West Bengal Circle,South Bengal Region,Asansol Division,"Jamuriahat SO, Mandalpur BO, Taltore BO"
713337,West bengal circle,South Bengal Region,Asansol Division,"Jemahari BO, Benali BO, Satgram BO, Bidhanbag SO"
713338,West bengal circle,South Bengal Region,Asansol Division,"Madhusudhanpur BO, Parascole BO, Kajoragram SO"
713339,West Bengal Circle,South Bengal Region,Asansol Division,"Kalipahari SO, Chelod BO, Damra BO, Mohishila BO, Rotibati BO"
713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO
713341,West Bengal Circle,South Bengal Region,Asansol Division,"Kanyapur SO, Nuni BO"
713342,West Bengal Circle,South Bengal Region,Asansol Division,Kenda SO
713343,West Bengal Circle,South Bengal Region,Asansol Division,"Kulti SO, Lalbazar BO, Kendua SO"
713344,West Bengal Circle,South Bengal Region,Asansol Division,Nandi SO Bardhaman
713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO, Kendra BO"
713347,West Bengal Circle,South Bengal Region,Asansol Division,"Raniganj HO, Kharsuli Bazar SO"
713357,West Bengal Circle,South Bengal Region,Asansol Division,Salanpur SO
713358,West Bengal Circle,South Bengal Region,Asansol Division,"Searsole Rajbari SO, Amritnagar BO, Bansra BO, Bijpur BO, Nimcha BO"
713359,West bengal circle,South Bengal Region,Asansol Division,"Aldihi BO, Bejdih BO, Ethora BO, Lalganj BO, Samdi BO, Baradhemo BO, Sitarampur SO, Neamatpur SO, Raghunathchak BO, Old Sitarampur BO"
713360,West bengal circle,South Bengal Region,Asansol Division,"Asanboni BO, Sunderchak SO, Chinakuri BO"
713361,West Bengal Circle,South Bengal Region,Asansol Division,Suryanagar SO Bardhaman
713362,West Bengal Circle,South Bengal Region,Asansol Division,"Toposi SO, Bahadurpur BO, Hijalgora BO, Ikrah BO, Jote Janki BO"
713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO, Kumardihi BO, Nabagram BO, Patsora BO, Sankarpur BO, Sarpi BO, Ukhra Puratanhattala SO"
713365,West Bengal Circle,South Bengal Region,Asansol Division,Chittaranjan TS SO
713369,West Bengal Circle,South Bengal Region,Asansol Division,Kalyaneshwari SO
713370,West Bengal Circle,South Bengal Region,Asansol Division,Ningha SO
713371,West Bengal Circle,South Bengal Region,Asansol Division,"Mithani SO, Bidyanandapur BO, Patmohana BO"
713372,West Bengal Circle,South Bengal Region,Asansol Division,Radhanagar Rly Colony SO
713373,West bengal circle,South Bengal Region,Asansol Division,"Kankhaya BO, Nischinta BO, Pariharpur BO, Sripur BO, Sripur Bazar SO Bardhaman"
713376,West Bengal Circle,South Bengal Region,Asansol Division,Dhandadihi SO
713378,West bengal circle,South Bengal Region,Asansol Division,"Bilpahari BO, Chinchuria BO, Khottadihi BO, Sonepur BO, Bhuri BO, Haripur SO Bardhaman"
713381,West Bengal Circle,South Bengal Region,Asansol Division,"Nutandanga SO, Amdahi BO, Gogla BO, Gourbazar BO"
713384,West Bengal Circle,South Bengal Region,Asansol Division,Parasea SO
713385,West bengal circle,South Bengal Region,Asansol Division,"Balijuri BO, Jhanjra BO, Nakrakonda BO, Laudoha SO, Jamgora BO"
713386,West Bengal Circle,South Bengal Region,Asansol Division,Rupnarayanpur Bazar SO
713401,West Bengal Circle,South Bengal Region,Burdwan Division,"Ajhapur SO, Habaspur BO, Kenna BO, Masagram BO, Panchra BO, Sanchra BO"
713403,West bengal circle,South Bengal Region,Burdwan Division,"Dwarnari BO, Jharul BO, Kasba BO, Nurkona BO, Paraj BO, Ramgopalpur BO, Budbud SO"
713404,West bengal circle,South Bengal Region,Burdwan Division,"Bishnubati BO, Jaragram BO, Runkini Mahalla BO, Sonargaria BO, Chakdighi SO"
713405,West bengal circle,South Bengal Region,Burdwan Division,"Astogoria BO, Krishnadebpur BO, Medgachi BO, Nandai BO, Sahajpur BO, Nibhujibazar BO, Simlon BO, Dhatrigram SO"
713406,West bengal circle,South Bengal Region,Burdwan Division,"Bahirghanna BO, Chakmuria BO, Goligrammathurapur BO, Joykrishnapur BO, Monoharsujapur BO, Pursa BO, Pursura BO, Uchhagram BO, Ura BO, Bhuri B.O, Galsi SO"
713407,West bengal circle,South Bengal Region,Burdwan Division,"Balgona BO, Begut BO, Bonogram BO, Kashiara BO, Kuchut BO, Nabastha BO, Sodda BO, Sonapalashi BO, Suhari BO, Sukur BO, Hatgobindapur SO"
713408,West bengal circle,South Bengal Region,Burdwan Division,"Anguna BO, Bahadurpur BO, Berugram BO, Jotsriram BO, Kamargoria BO, Paratal BO, Parbatpur BO, Sadipur BO, Sah Hossainpur BO, Sanktia BO, Surekanla BO, Jamalpur SO Bardhaman"
713409,West bengal circle,South Bengal Region,Burdwan Division,"Hatbele BO, Bagnapara BO, Deara Radhanagar BO, Kalna SO, Baramitrapara BO, Bhaduripara SO, Kalna Court SO"
713420,West bengal circle,South Bengal Region,Burdwan Division,"Rondia BO, Panagar SO Bardhaman"
713421,West bengal circle,South Bengal Region,Burdwan Division,"Barabainan BO, Kamarhati BO, Pasanda BO, Saknara BO, Tajpur BO, Raina SO"
713422,West bengal circle,South Bengal Region,Burdwan Division,"Begpur BO, Bhagra BO, Bijur BO, Bitra BO, Dewania BO, Ibrahambadsonadanga BO, Jamna BO, Jhikra BO, Kanpur BO, Karanda BO, Katshihi BO, Khandraparulia BO, Kuley BO, Kulut BO, Kusumgram BO, Madhyagram BO, Mamudpur BO, Mangalpur BO, Piplon BO, Purguna BO, Raigram BO, Sontla BO, Bohar BO, Khalishpur BO, Satgachia SO"
713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO, Chagram BO, Chotobainan BO, Guir BO, Kaiti BO, Keshabpur BO, Keunta BO, Koyar BO, Saranga BO, Torkona BO, Konakrishnapur BO, Sehara SO"
713424,West bengal circle,South Bengal Region,Burdwan Division,"Burar BO, Golgram BO, Huria BO, Jubila BO, Madabdihi BO, Madanagar BO, Meral BO, Narugram BO, Nole BO, Palashan BO, Rambati BO, Sagrai BO, Sahajpur Hattala BO, Sankari BO, Shyamdasbati BO, Teandul BO, Telua BO, Shyamsundar SO"
713426,West bengal circle,South Bengal Region,Burdwan Division,"Bhandardihi BO, Faridpur BO, Kamarkita BO, Kasthakurumba BO, Malamba BO, Ramchandrapur BO, Samanti BO, Susunia BO, Untia BO, Barapalashan BO, Mandalgram SO"
713427,West bengal circle,South Bengal Region,Burdwan Division,"Gopalbera BO, Bajekumarpur BO, Belar Bhurkunda BO, Eklakhi BO, Kendur BO, Kumarganj BO, Pahalanpur BO, Painta BO, Sherpur BO, Uchalan SO"
713428,West Bengal Circle,South Bengal Region,Burdwan Division,"Adrahati SO, Belan BO, Gohagram BO, Irkona BO, Masidpur BO, Mohara BO, Mollasarul BO, Purangaon BO, Serorai BO, Bakta BO"
713502,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip RS BO, Ankra BO, Ballavpara BO, Bera BO, Bhagyabantapur BO, Chanduli BO, Deasin BO, Islampur BO, Kalikapur BO, Karajgram BO, Musthuli BO, Panuhat BO, Dainhat SO"
