pincode,circle,region,division,offices
712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO
712122,West bengal circle,South Bengal Region,Hooghly North Division,"Fului BO, Jharia BO, Badanganj SO, Kadra BO, Pandugram BO, Santipur BO, Selampur BO, Shyambazar BO, Tilari BO"
712123,West Bengal Circle,South Bengal Region,Hooghly North Division,"Bandel Junction SO, Debanandapur BO, Ektarpur BO, Inchura Bazar BO, Manaspur BO, Naldanga BO, Rajhat BO, Somra BO"
712124,West Bengal Circle,South Bengal Region,Hooghly South Division,"Bhadreswar SO, Bighati BO, Nanda BO, Saradapally BO, K G R S Path SO"
712125,West Bengal Circle,South Bengal Region,Hooghly South Division,"Telinipara SO, Rajabazar SO Hooghly"
712134,West Bengal Circle,South Bengal Region,Hooghly North Division,"Boinchi SO, Balindar BO, Barul BO, Berela BO, Bhonpur BO, Bilsara BO, Hanraldaspur BO, Hatni BO, Insura BO, Raijamna BO, Talbona BO"
712135,West Bengal Circle,South Bengal Region,Hooghly North Division,"Boinchigram SO, Ballaldighi BO, SIMLAGARH BO"
712136,West Bengal Circle,South Bengal Region,Hooghly South Division,"Chandannagar SO Hooghly, Boraichanditala SO, Chandannagar Barasat SO, Chandannagar RS SO, Kundughat SO"
712137,West Bengal Circle,South Bengal Region,Hooghly South Division,Gondalpara SO
712138,West Bengal Circle,South Bengal Region,Hooghly South Division,"Khalisani SO, Jarura BO, Noapara BO, Palpara BO"
712139,West Bengal Circle,South Bengal Region,Hooghly South Division,"Mankundu SO, Mankundu GovtColony BO"
712146,West Bengal Circle,South Bengal Region,Hooghly North Division,"Ilsobamondalai SO, Arjuna BO, Baharkuli BO, Brindabanpur BO, Gajinadaspur BO, Gram Kulti BO, Gramchagram BO, Jamgram BO, Mohipalpur BO, Pindira BO"
712147,West Bengal Circle,South Bengal Region,Hooghly North Division,"Itachuna SO, Chatosarsa BO, Haridaspur BO, Hoera BO, KHANYAN BO, Radhanagar BO"
712148,West Bengal Circle,South Bengal Region,Hooghly North Division,"Magra SO, Akna BO, Barunanpara BO, Digsui BO, Pakri BO, Patna BO, POLBA BO, Ramnathpur BO, Sultangacha BO, Talandu BO"
712149,West Bengal Circle,South Bengal Region,Hooghly North Division,"Pandua SO, Amra BO, Aymanawabpur BO, BELOON BO, Bhitasin BO, Dwarbasini BO, Hanral BO, Khajurdaha BO, Magura BO, Megshar BO, Mohanad BO, Panchgora BO, Ranagarh BO, Rosna BO, Sarai BO, Satithan BO, Tinna BO"
