pincode,circle,region,division,offices
700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO"
700079,West Bengal Circle,Kolkata Region,North Presidency Division,Italghacha SO
700080,West Bengal Circle,Kolkata Region,Kolkata North Division,"Mall Road SO, Jessore Road SO"
700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO
700082,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haridevpur SO, KPBazar SO Kolkata"
700083,West Bengal Circle,Kolkata Region,North Presidency Division,"Nandan Nagar SO, D P Nagar BO, Basudebpur BO, East Belghoria SO"
700084,West Bengal Circle,Kolkata Region,South Presidency Division,"Garia SO South 24 Parganas, Garia Garden SO, Kamda Hari SO"
700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO
700086,West Bengal Circle,Kolkata Region,South Kolkata Division,Baghajatin SO
700087,West Bengal Circle,Kolkata Region,Kolkata Central Division,New Market SO
700088,West Bengal Circle,Kolkata Region,Alipore H.O Division,"Telecom Factory S.O, Brace Bridge SO, Taratala Road SO"
700089,West Bengal Circle,Kolkata Region,Kolkata East Division,"Lake Town SO North 24 Parganas, Kalindi Housing Estate SO"
700090,West Bengal Circle,Kolkata Region,Kolkata North Division,"Noapara SO, Netaji Colony SO"
700091,West Bengal Circle,Kolkata Region,Kolkata East Division,"Sech Bhawan SO, Bidhan Nagar CK Market SO, Nabadiganta IT SO"
700092,West Bengal Circle,Kolkata Region,South Kolkata Division,Regent Estate SO
700093,West Bengal Circle,Kolkata Region,South Presidency Division,Purba Putiary SO
700094,West Bengal Circle,Kolkata Region,South Kolkata Division,"Panchasayar SO, Baishnab Ghata Patuli Township SO, Sammilani Mahavidyalaya SO"
700095,West Bengal Circle,Kolkata Region,South Kolkata Division,Golf Green SO
700096,West Bengal Circle,Kolkata Region,South Presidency Division,Brahmapur SO
700097,West Bengal Circle,Kolkata Region,Kolkata East Division,Purbachal SO
700099,West Bengal Circle,Kolkata Region,South Kolkata Division,"Mukundapur SO, Kalikapur SO"
700100,West Bengal Circle,Kolkata Region,Kolkata East Division,Vip Nagar SO
700101,West Bengal Circle,Kolkata Region,Kolkata East Division,Prafulla Kanan SO
700102,West Bengal Circle,Kolkata Region,Kolkata East Division,Krishnapur SO North 24 Parganas
700103,West Bengal Circle,Kolkata Region,South Presidency Division,"Narendrapur SO, Bonhooghly BO, Nepalganj BO"
700104,West Bengal Circle,Kolkata Region,South Presidency Division,"Joka SO, Amgachia BO, Nahazari BO, Pailanhat BO, Ramchandrapur Chak Thakurani BO, Rasapunja BO, IIM Joka SO"
700105,West Bengal Circle,Kolkata Region,Kolkata East Division,"Dhapa SO, Chowbaga BO, Nowbhanga SO"
700106,West Bengal Circle,Kolkata Region,Kolkata East Division,Bidhan Nagar IB Market SO
700107,West Bengal Circle,Kolkata Region,South Kolkata Division,"Madurdaha SO, EKT SO"
700108,West Bengal Circle,Kolkata Region,Kolkata North Division,"ISI PO SO, Ashokegarh SO, Bonhooghly SO"
700109,West Bengal Circle,Kolkata Region,North Presidency Division,Agarpara SO
700110,West bengal circle,Kolkata Region,North Presidency Division,"Jugberia BO, Chandpur Leningarh BO, Sodepur SO, Bijoypur SO, Ramchandra Pur SO, Sodepur GHE SO, Tirtha Bharati SO"
700111,West Bengal Circle,Kolkata Region,North Presidency Division,"Ghola Bazar SO, Ghola BO"
700112,West bengal circle,Kolkata Region,North Presidency Division,"Kalyannagar Cooperative Colony BO, Pansila SO"
700113,West bengal circle,Kolkata Region,North Presidency Division,"Karnamadhabpur BO, Panchanantala BO, Natagarh SO"
700114,West Bengal Circle,Kolkata Region,North Presidency Division,"Panihati SO, Bangodaya SO"
700115,West Bengal Circle,Kolkata Region,North Presidency Division,Sukchar SO North 24 Parganas
700116,West Bengal Circle,Kolkata Region,North Presidency Division,BDSopan SO
700117,West Bengal Circle,Kolkata Region,North Presidency Division,"Khardah SO, Jeliapara SO, Surya Sen Nagar SO"
700118,West Bengal Circle,Kolkata Region,North Presidency Division,Rahara SO
700119,West bengal circle,Kolkata Region,North Presidency Division,"Bandipur BO, Patulia BO, Titagarh SO, Bishalakshi Ghat SO, Bramhasthan SO"
700120,West Bengal Circle,Kolkata Region,North Presidency Division,"Barrackpore HO, Barrackpore Bazar SO, Barrackpore GovtHousing SO, Ghosh Para Road SO, Monirampore SO, Nayapally SO, Orderly Bazar SO, Vivekananda Math SO"
700121,West bengal circle,Kolkata Region,North Presidency Division,"Beraberia BO, Sewli Telinipara BO, Nilganj Bazaar SO, Suryapur BO"
700122,West Bengal Circle,Kolkata Region,North Presidency Division,"Nonachandanpukur SO, Anandapuri SO, Jaffarpur SO"
700123,West Bengal Circle,Kolkata Region,North Presidency Division,"Talpukur SO, Barrackpore RS SO, Panpara SO North 24 Parganas"
700124,West Bengal Circle,Kolkata Region,Barasat Division,"Barasat HO, Barasat Bazar SO, Sethpukur SO"
700125,West Bengal Circle,Kolkata Region,Barasat Division,"Noapara SO North 24 Parganas, Kadambagachi BO, Kamdevpur BO, Kazipara BO, Mirhati BO, Noapara Madhavpur BO, Khilkapur BO"
700126,West Bengal Circle,Kolkata Region,Barasat Division,"Nabapally SO, Bodai BO, Jagannathpur BO, Malikapur BO"
